event_type,code_system,raw_code,normalized_code,mimic_token,mimic_token_id,mapping_status,oov_cause,needed_normalization,description,source_code_system,n_events,n_patients,sample_description
diagnosis,ICD10,R62.51,R6251,ICD10_R6251,13975.0,unmapped_icd_in_vocab,,true,Failure to thrive (child),ICD10,3310,321,Failure to thrive (child)
diagnosis,ICD10,L20.82,L2082,ICD10_L2082,,oov,unknown_unmappable,true,,ICD10,131,32,Flexural eczema
diagnosis,ICD10,J10.1,J101,PHE_481,25868.0,mapped_phecode,,true,Influenza (respiratory),ICD10,438,175,Influenza A
diagnosis,ICD10,Z77.22,Z7722,ICD10_Z7722,21459.0,unmapped_icd_in_vocab,,true,Contact with and (suspected) exposure to environmental tobacco smoke (acute) (chronic),ICD10,1161,456,Exposure to second hand smoke
diagnosis,ICD10,J35.2,J352,PHE_474.2,25853.0,mapped_phecode,,true,Chronic tonsillitis and adenoiditis (respiratory),ICD10,1801,417,Adenoid hypertrophy
diagnosis,ICD10,R19.7,R197,ICD10_R197,13733.0,unmapped_icd_in_vocab,,true,"Diarrhea, unspecified",ICD10,2578,629,"Diarrhea, unspecified"
diagnosis,ICD10,B95.62,B9562,ICD10_B9562,5910.0,unmapped_icd_in_vocab,,true,Methicillin resistant Staphylococcus aureus infection as the cause of diseases classified elsewhere,ICD10,56,33,Methicillin resistant Staphylococcus aureus infection as the cause of diseases classified elsewhere
diagnosis,ICD10,N28.1,N281,PHE_586.2,26098.0,mapped_phecode,,true,"Cyst of kidney, acquired (genitourinary)",ICD10,103,20,"Cyst of kidney, acquired"
diagnosis,ICD10,R11.2,R112,ICD10_R112,13706.0,unmapped_icd_in_vocab,,true,"Nausea with vomiting, unspecified",ICD10,739,230,"Nausea with vomiting, unspecified"
diagnosis,ICD10,R62.50,R6250,ICD10_R6250,13974.0,unmapped_icd_in_vocab,,true,Unspecified lack of expected normal physiological development in childhood,ICD10,18093,706,Unspecified lack of expected normal physiological development in childhood
diagnosis,ICD10,J18.9,J189,PHE_480,25860.0,mapped_phecode,,true,Pneumonia (respiratory),ICD10,1311,308,"Pneumonia, unspecified organism"
diagnosis,ICD9,289.52,28952,PHE_289.5,25399.0,mapped_phecode,,true,Diseases of spleen (hematopoietic),ICD9,66,6,Splenic sequestration
diagnosis,ICD10,Z79.51,Z7951,ICD10_Z7951,21471.0,unmapped_icd_in_vocab,,true,Long term (current) use of inhaled steroids,ICD10,335,200,Long term (current) use of inhaled steroids
diagnosis,ICD10,I82.B11,I82B11,ICD10_I82B11,9522.0,unmapped_icd_in_vocab,,true,Acute embolism and thrombosis of right subclavian vein,ICD10,7,2,"Subclavian vein thrombosis, right"
diagnosis,ICD10,D70.8,D708,ICD10_D708,6672.0,unmapped_icd_in_vocab,,true,Other neutropenia,ICD10,127,9,Other neutropenia
diagnosis,ICD10,G47.33,G4733,ICD10_G4733,7646.0,unmapped_icd_in_vocab,,true,Obstructive sleep apnea (adult) (pediatric),ICD10,13110,1463,Obstructive sleep apnea (adult) (pediatric)
diagnosis,ICD10,F98.8,F988,PHE_313,25462.0,mapped_phecode,,true,Pervasive developmental disorders (mental disorders),ICD10,216,63,ADD (attention deficit disorder) without hyperactivity
diagnosis,ICD10,Q43.9,Q439,PHE_750.21,26512.0,mapped_phecode,,true,Congenital anomalies of intestine (congenital anomalies),ICD10,717,16,Anorectal malformation
diagnosis,ICD10,Z78.9,Z789,ICD10_Z789,,oov,unknown_unmappable,true,,ICD10,1096,223,Ketogenic diet
diagnosis,ICD10,R07.9,R079,ICD10_R079,13672.0,unmapped_icd_in_vocab,,true,"Chest pain, unspecified",ICD10,833,247,"Chest pain, unspecified"
diagnosis,ICD10,H04.552,H04552,ICD10_H04552,,oov,unknown_unmappable,true,,ICD10,20,8,"Dacryostenosis, left"
diagnosis,ICD10,O30.049,O30049,ICD10_O30049,,oov,unknown_unmappable,true,,ICD10,4,2,"Dichorionic diamniotic twin pregnancy, antepartum"
diagnosis,ICD10,R20.2,R202,PHE_687.4,26303.0,mapped_phecode,,true,Disturbance of skin sensation (dermatologic),ICD10,112,38,Paresthesia of skin
diagnosis,ICD10,J02.0,J020,PHE_465,25841.0,mapped_phecode,,true,Acute upper respiratory infections of multiple or unspecified sites (respiratory),ICD10,1544,387,Strep pharyngitis
diagnosis,ICD9,288.50,28850,PHE_288.1,25391.0,mapped_phecode,,true,Decreased white blood cell count (hematopoietic),ICD9,36,18,Leukopenia
diagnosis,ICD9,V14.3,V143,PHE_961,26686.0,mapped_phecode,,true,Poisoning by other anti-infectives (injuries & poisonings),ICD9,215,68,Personal history of allergy to other anti-infective agent
diagnosis,ICD9,V14.8,V148,PHE_977,26712.0,mapped_phecode,,true,Personal history of allergy to medicinal agents (injuries & poisonings),ICD9,206,81,Personal history of allergy to other specified medicinal agents
diagnosis,ICD9,758.9,7589,PHE_758.1,26548.0,mapped_phecode,,true,Chromosomal anomalies (congenital anomalies),ICD9,1067,53,Conditions due to anomaly of unspecified chromosome
diagnosis,ICD9,348.2,3482,PHE_348.2,25531.0,mapped_phecode,,true,Cerebral edema and compression of brain (neurological),ICD9,246,14,Pseudotumor cerebri
diagnosis,ICD9,V15.89,V1589,ICD9_V1589,23051.0,unmapped_icd_in_vocab,,true,Other specified personal history presenting hazards to health,ICD9,211,98,Other specified personal history presenting hazards to health(V15.89)
diagnosis,ICD9,748.3,7483,PHE_748,26501.0,mapped_phecode,,true,"Anomalies of respiratory system, congenital (congenital anomalies)",ICD9,1159,122,"Other congenital anomaly of larynx, trachea, and bronchus"
diagnosis,ICD10,R63.0,R630,PHE_260.6,25267.0,mapped_phecode,,true,Anorexia (endocrine/metabolic),ICD10,518,197,Poor appetite
diagnosis,ICD10,E66.3,E663,ICD10_E663,6960.0,unmapped_icd_in_vocab,,true,Overweight,ICD10,621,191,Overweight
diagnosis,ICD10,Z82.49,Z8249,ICD10_Z8249,21508.0,unmapped_icd_in_vocab,,true,Family history of ischemic heart disease and other diseases of the circulatory system,ICD10,409,164,Family history of Brugada syndrome
diagnosis,ICD10,R13.11,R1311,ICD10_R1311,13709.0,unmapped_icd_in_vocab,,true,"Dysphagia, oral phase",ICD10,1662,90,Oral motor dysfunction
diagnosis,ICD10,J30.1,J301,PHE_476,25856.0,mapped_phecode,,true,Allergic rhinitis (respiratory),ICD10,706,161,Seasonal allergic rhinitis due to pollen
diagnosis,ICD10,R09.81,R0981,ICD10_R0981,13675.0,unmapped_icd_in_vocab,,true,Nasal congestion,ICD10,3884,1049,Nasal congestion
diagnosis,ICD10,Z43.1,Z431,ICD10_Z431,21209.0,unmapped_icd_in_vocab,,true,Encounter for attention to gastrostomy,ICD10,1944,214,Attention to gastrostomy
diagnosis,ICD10,Z60.9,Z609,ICD10_Z609,21333.0,unmapped_icd_in_vocab,,true,"Problem related to social environment, unspecified",ICD10,154,52,High risk social situation
diagnosis,ICD9,V21.30,V2130,PHE_637,,oov,pediatric_absent,true,,ICD9,225,122,"Low birth weight status, unspecified"
diagnosis,ICD9,V13.7,V137,ICD9_V137,,oov,code_version_mismatch,true,,ICD9,104,47,Personal history of perinatal problems
diagnosis,ICD9,V13.69,V1369,PHE_759,26549.0,mapped_phecode,,true,Other and unspecified congenital anomalies (congenital anomalies),ICD9,29,21,Personal history of other (corrected) congenital malformations
diagnosis,ICD9,758.89,75889,PHE_758.1,26548.0,mapped_phecode,,true,Chromosomal anomalies (congenital anomalies),ICD9,383,48,Other conditions due to chromosome anomalies(758.89)
diagnosis,ICD9,255.8,2558,PHE_255,25243.0,mapped_phecode,,true,Disorders of adrenal glands (endocrine/metabolic),ICD9,23,7,Other specified disorders of adrenal glands
diagnosis,ICD10,Z62.822,Z62822,ICD10_Z62822,,oov,unknown_unmappable,true,,ICD10,9,4,Behavior causing concern in foster child
diagnosis,ICD10,M85.80,M8580,ICD10_M8580,12286.0,unmapped_icd_in_vocab,,true,"Other specified disorders of bone density and structure, unspecified site",ICD10,761,83,Advanced bone age
diagnosis,ICD9,255.5,2555,PHE_255.2,25247.0,mapped_phecode,,true,Adrenal hypofunction (endocrine/metabolic),ICD9,9,3,Other adrenal hypofunction
diagnosis,ICD9,250.03,25003,PHE_250.1,25210.0,mapped_phecode,,true,Type 1 diabetes (endocrine/metabolic),ICD9,68,6,"Type I (juvenile type) diabetes mellitus without mention of complication, uncontrolled"
diagnosis,ICD9,775.1,7751,PHE_656.3,,oov,pediatric_absent,true,,ICD9,59,1,Neonatal diabetes mellitus
diagnosis,ICD9,745.4,7454,PHE_747.11,26497.0,mapped_phecode,,true,Cardiac shunt/ heart septal defect (congenital anomalies),ICD9,1364,89,Ventricular septal defect
diagnosis,ICD9,783.41,78341,PHE_264.2,25278.0,mapped_phecode,,true,Failure to thrive (childhood) (endocrine/metabolic),ICD9,2339,260,Poor weight gain in child
diagnosis,ICD9,759.89,75989,PHE_759,26549.0,mapped_phecode,,true,Other and unspecified congenital anomalies (congenital anomalies),ICD9,1852,89,Other specified congenital anomalies
diagnosis,ICD9,315.8,3158,PHE_315,25466.0,mapped_phecode,,true,Develomental delays and disorders (mental disorders),ICD9,2206,231,Global developmental delay
diagnosis,ICD9,784.0,7840,ICD9_7840,22058.0,unmapped_icd_in_vocab,,true,Headache,ICD9,1337,302,Headache(784.0)
diagnosis,ICD10,M79.606,M79606,ICD10_M79606,12046.0,unmapped_icd_in_vocab,,true,"Pain in leg, unspecified",ICD10,102,39,"Pain in leg, unspecified"
diagnosis,ICD10,M25.552,M25552,ICD10_M25552,11268.0,unmapped_icd_in_vocab,,true,Pain in left hip,ICD10,469,65,"Hip pain, bilateral"
diagnosis,ICD10,S73.005D,S73005D,ICD10_S73005D,,oov,unknown_unmappable,true,,ICD10,75,14,"Hip dislocation, bilateral, subsequent encounter"
diagnosis,ICD10,Z96.22,Z9622,ICD10_Z9622,21780.0,unmapped_icd_in_vocab,,true,Myringotomy tube(s) status,ICD10,2923,497,Myringotomy tube(s) status
diagnosis,ICD10,G43.709,G43709,ICD10_G43709,7584.0,unmapped_icd_in_vocab,,true,"Chronic migraine without aura, not intractable, without status migrainosus",ICD10,183,26,"Chronic migraine without aura, not intractable, without status migrainosus"
diagnosis,ICD10,G47.8,G478,PHE_327,25483.0,mapped_phecode,,true,Sleep disorders (neurological),ICD10,1856,1200,Other sleep disorders
diagnosis,ICD10,I10,I10,PHE_401.1,25691.0,mapped_phecode,,false,Essential hypertension (circulatory system),ICD10,2026,215,Essential (primary) hypertension
diagnosis,ICD10,H90.3,H903,PHE_389.1,25672.0,mapped_phecode,,true,Sensorineural hearing loss (sense organs),ICD10,3665,77,"Sensorineural hearing loss, bilateral"
diagnosis,ICD9,724.5,7245,PHE_760,26551.0,mapped_phecode,,true,Back pain (symptoms),ICD9,605,103,Back pain
diagnosis,ICD10,Z79.4,Z794,ICD10_Z794,21470.0,unmapped_icd_in_vocab,,true,Long term (current) use of insulin,ICD10,312,28,Long term current use of insulin
diagnosis,ICD9,V46.2,V462,PHE_509.8,25899.0,mapped_phecode,,true,Dependence on respirator [Ventilator] or supplemental oxygen (respiratory),ICD9,502,87,Dependence on supplemental oxygen
diagnosis,ICD9,765.24,76524,ICD9_76524,,oov,code_version_mismatch,true,,ICD9,177,25,27-28 completed weeks of gestation(765.24)
diagnosis,ICD9,V44.1,V441,ICD9_V441,23159.0,unmapped_icd_in_vocab,,true,Gastrostomy status,ICD9,2708,164,Gastrostomy status
diagnosis,ICD9,278.02,27802,PHE_278,25334.0,mapped_phecode,,true,"Overweight, obesity and other hyperalimentation (endocrine/metabolic)",ICD9,394,140,Overweight
diagnosis,ICD10,E27.9,E279,PHE_255,25243.0,mapped_phecode,,true,Disorders of adrenal glands (endocrine/metabolic),ICD10,24,4,"Disorder of adrenal gland, unspecified"
diagnosis,ICD10,Q89.7,Q897,PHE_759,26549.0,mapped_phecode,,true,Other and unspecified congenital anomalies (congenital anomalies),ICD10,851,79,Multiple congenital anomalies
diagnosis,ICD10,Z04.8,Z048,ICD10_Z048,21020.0,unmapped_icd_in_vocab,,true,Encounter for examination and observation for other specified reasons,ICD10,140,93,Encounter for examination and observation for other specified reasons
diagnosis,ICD10,R73.9,R739,PHE_250.42,25224.0,mapped_phecode,,true,Other abnormal glucose (endocrine/metabolic),ICD10,212,77,"Hyperglycemia, unspecified"
diagnosis,ICD9,728.89,72889,PHE_772,26563.0,mapped_phecode,,true,Symptoms of the muscles (symptoms),ICD9,61,17,"Other disorder of muscle, ligament, and fascia"
diagnosis,ICD9,742.2,7422,PHE_752.2,26526.0,mapped_phecode,,true,Other specified congenital anomalies of nervous system (congenital anomalies),ICD9,690,25,Congenital reduction deformities of brain
diagnosis,ICD10,R26.9,R269,ICD10_R269,13747.0,unmapped_icd_in_vocab,,true,Unspecified abnormalities of gait and mobility,ICD10,795,126,Abnormal gait
diagnosis,ICD10,L05.91,L0591,ICD10_L0591,10319.0,unmapped_icd_in_vocab,,true,Pilonidal cyst without abscess,ICD10,59,14,Pilonidal cyst without abscess
diagnosis,ICD10,R53.1,R531,ICD10_R531,13966.0,unmapped_icd_in_vocab,,true,Weakness,ICD10,905,89,Weakness
diagnosis,ICD10,G93.9,G939,PHE_348.9,25535.0,mapped_phecode,,true,"Other conditions of brain, NOS (neurological)",ICD10,50,13,Brain lesion
diagnosis,ICD10,G89.4,G894,ICD10_G894,7802.0,unmapped_icd_in_vocab,,true,Chronic pain syndrome,ICD10,269,11,Chronic pain syndrome
diagnosis,ICD10,F33.1,F331,PHE_296.22,25431.0,mapped_phecode,,true,Major depressive disorder (mental disorders),ICD10,1469,66,Moderate episode of recurrent major depressive disorder
diagnosis,ICD10,F32.89,F3289,ICD10_F3289,7416.0,unmapped_icd_in_vocab,,true,Other specified depressive episodes,ICD10,560,59,Other specified depressive episodes
diagnosis,ICD10,Q87.89,Q8789,ICD10_Q8789,13645.0,unmapped_icd_in_vocab,,true,"Other specified congenital malformation syndromes, not elsewhere classified",ICD10,2331,56,Tricho-rhino-phalangeal syndrome
diagnosis,ICD10,R07.89,R0789,ICD10_R0789,13671.0,unmapped_icd_in_vocab,,true,Other chest pain,ICD10,348,132,Non-cardiac chest pain
diagnosis,ICD10,R42,R42,PHE_386.9,25669.0,mapped_phecode,,false,Dizziness and giddiness (Light-headedness and vertigo) (sense organs),ICD10,613,142,Dizziness
diagnosis,ICD9,780.09,78009,PHE_291.8,25412.0,mapped_phecode,,true,Alteration of consciousness (mental disorders),ICD9,54,34,Other alteration of consciousness
diagnosis,ICD10,T38.0X5S,T380X5S,ICD10_T380X5S,18618.0,unmapped_icd_in_vocab,,true,"Adverse effect of glucocorticoids and synthetic analogues, sequela",ICD10,2,2,"Adverse effect of glucocorticoids and synthetic analogues, sequela"
diagnosis,ICD10,Z94.1,Z941,PHE_429.1,25760.0,mapped_phecode,,true,Heart transplant/surgery (circulatory system),ICD10,902,3,Heart replaced by transplant
diagnosis,ICD9,765.20,76520,ICD9_76520,,oov,code_version_mismatch,true,,ICD9,811,126,Extreme prematurity
diagnosis,ICD9,765.12,76512,ICD9_76512,,oov,code_version_mismatch,true,,ICD9,197,14,"Other preterm infants, 500-749 grams(765.12)"
diagnosis,ICD9,378.71,37871,PHE_378,25638.0,mapped_phecode,,true,Strabismus and other disorders of binocular eye movements (sense organs),ICD9,71,8,Duane's syndrome
diagnosis,ICD10,M08.88,M0888,ICD10_M0888,,oov,unknown_unmappable,true,,ICD10,5,2,"Other juvenile arthritis, other specified site"
diagnosis,ICD10,G95.0,G950,PHE_334,25505.0,mapped_phecode,,true,Degenerative disease of the spinal cord (neurological),ICD10,191,21,Syrinx of spinal cord
diagnosis,ICD9,719.06,71906,PHE_741.4,26478.0,mapped_phecode,,true,Joint effusions (musculoskeletal),ICD9,44,11,"Knee effusion, left"
diagnosis,ICD10,C22.2,C222,PHE_155.1,25074.0,mapped_phecode,,true,"Malignant neoplasm of liver, primary (neoplasms)",ICD10,205,1,Hepatoblastoma
diagnosis,ICD9,250.00,25000,PHE_250.2,25216.0,mapped_phecode,,true,Type 2 diabetes (endocrine/metabolic),ICD9,178,20,"Type II or unspecified type diabetes mellitus without mention of complication, not stated as uncontrolled"
diagnosis,ICD9,V58.67,V5867,PHE_250.3,25222.0,mapped_phecode,,true,Insulin pump user (endocrine/metabolic),ICD9,11,4,Encounter for long-term (current) use of insulin
diagnosis,ICD10,D58.2,D582,PHE_282.8,25354.0,mapped_phecode,,true,Other hemoglobinopathies (hematopoietic),ICD10,67,30,Other hemoglobinopathies
diagnosis,ICD10,M89.8X9,M898X9,ICD10_M898X9,12470.0,unmapped_icd_in_vocab,,true,"Other specified disorders of bone, unspecified site",ICD10,44,17,"Other specified disorders of bone, unspecified site"
diagnosis,ICD10,K91.1,K911,PHE_539,26000.0,mapped_phecode,,true,Bariatric surgery (digestive),ICD10,19,3,Postgastric surgery syndromes
diagnosis,ICD10,Z91.018,Z91018,ICD10_Z91018,21721.0,unmapped_icd_in_vocab,,true,Allergy to other foods,ICD10,693,155,Allergy to other foods
diagnosis,ICD9,733.90,73390,PHE_743.9,26493.0,mapped_phecode,,true,Osteopenia or other disorder of bone and cartilage (musculoskeletal),ICD9,284,51,"Disorder of bone and cartilage, unspecified"
diagnosis,ICD10,K85.90,K8590,ICD10_K8590,10180.0,unmapped_icd_in_vocab,,true,"Acute pancreatitis without necrosis or infection, unspecified",ICD10,44,17,"Acute pancreatitis without necrosis or infection, unspecified"
diagnosis,ICD9,382.9,3829,PHE_381.11,25654.0,mapped_phecode,,true,Suppurative and unspecified otitis media (sense organs),ICD9,5004,829,Unspecified otitis media
diagnosis,ICD10,F91.9,F919,PHE_312,25460.0,mapped_phecode,,true,Conduct disorders (mental disorders),ICD10,4514,373,Disruptive behavior disorder
diagnosis,ICD10,H47.9,H479,ICD10_H479,,oov,unknown_unmappable,true,,ICD10,462,35,Unspecified disorder of visual pathways
diagnosis,ICD9,367.31,36731,PHE_368.3,,oov,pediatric_absent,true,,ICD9,43,13,Anisometropia
diagnosis,ICD9,367.20,36720,PHE_367.2,25599.0,mapped_phecode,,true,Astigmatism (sense organs),ICD9,453,115,"Astigmatism, unspecified"
diagnosis,ICD9,378.10,37810,PHE_378.1,25639.0,mapped_phecode,,true,Strabismus (not specified as paralytic) (sense organs),ICD9,211,44,"Exotropia, unspecified"
diagnosis,ICD9,286.9,2869,PHE_286.7,25379.0,mapped_phecode,,true,Other and unspecified coagulation defects (hematopoietic),ICD9,17,13,Other and unspecified coagulation defects
diagnosis,ICD9,741.00,74100,PHE_752.11,26525.0,mapped_phecode,,true,Spina bifida (congenital anomalies),ICD9,1793,38,"Spina bifida with hydrocephalus, unspecified region"
diagnosis,ICD9,378.05,37805,PHE_378.1,25639.0,mapped_phecode,,true,Strabismus (not specified as paralytic) (sense organs),ICD9,56,16,Alternating esotropia
diagnosis,ICD10,Z01.00,Z0100,ICD10_Z0100,,oov,unknown_unmappable,true,,ICD10,1999,491,Visit for eye and vision exam
diagnosis,ICD10,H04.209,H04209,ICD10_H04209,7973.0,unmapped_icd_in_vocab,,true,"Unspecified epiphora, unspecified side",ICD10,6,4,"Excessive tear production, unspecified laterality"
diagnosis,ICD10,H52.203,H52203,ICD10_H52203,8517.0,unmapped_icd_in_vocab,,true,"Unspecified astigmatism, bilateral",ICD10,699,165,Hyperopia of both eyes with astigmatism
diagnosis,ICD9,375.56,37556,PHE_375,25631.0,mapped_phecode,,true,Disorders of lacrimal system (sense organs),ICD9,144,53,"Stenosis of nasolacrimal duct, acquired"
diagnosis,ICD10,H53.002,H53002,ICD10_H53002,8521.0,unmapped_icd_in_vocab,,true,"Unspecified amblyopia, left eye",ICD10,123,18,"Amblyopia, left"
diagnosis,ICD9,374.30,37430,PHE_374.3,25629.0,mapped_phecode,,true,Ptosis of eyelid (sense organs),ICD9,114,24,Ptosis
