event_type,code_system,raw_code,normalized_code,mimic_token,mapping_status,oov_cause,n_events,n_patients,sample_description
medication,RXNORM,4419,4419,RXN_4419,oov,pediatric_absent,3871,8,fat emul/soy/mct/oliv/fish oil
procedure,HCPCS,71046,71046,HCPCS_71046,oov,unknown_unmappable,3850,821,CHG RADIOLOGIC EXAM CHEST 2 VIEWS
medication,RXNORM,1298068,1298068,RXN_1298068,oov,pediatric_absent,3832,196,cyclopentolate/phenylephrine
procedure,HCPCS,95782,95782,HCPCS_95782,oov,unknown_unmappable,3821,1521,PR POLYSOM <6 YRS SLEEP STAGE 4/> ADDL PARAM ATTND
diagnosis,ICD10,redacted,,,redacted,redacted,3716,312,redacted
procedure,HCPCS,92567,92567,HCPCS_92567,oov,unknown_unmappable,3613,1141,TYMPANOMETRY
medication,RXNORM,617993,617993,RXN_617993,oov,pediatric_absent,3585,583,amoxicillin/potassium clav
procedure,HCPCS,93010,93010,HCPCS_93010,oov,unknown_unmappable,3492,1141,PR ELECTROCARDIOGRAM REPORT
medication,RXNORM,238755,238755,RXN_238755,oov,pediatric_absent,3405,130,hydrocortisone sodium succ/PF
medication,RXNORM,1362049,1362049,RXN_1362049,oov,pediatric_absent,3285,153,"heparin sodium,porcine/PF"
procedure,HCPCS,74018,74018,HCPCS_74018,oov,unknown_unmappable,3266,533,CHG RADIOLOGIC EXAM ABDOMEN 1 VIEW
procedure,HCPCS,93320,93320,HCPCS_93320,oov,unknown_unmappable,3168,524,>CARD 2-D/DOPPLER
medication,RXNORM,310965,310965,RXN_310965,oov,pediatric_absent,3109,563,ibuprofen
medication,RXNORM,199163,199163,RXN_199163,oov,pediatric_absent,3072,326,melatonin
medication,RXNORM,60761,60761,RXN_60761,oov,pediatric_absent,3029,89,"zinc/petrolatum,white"
medication,RXNORM,849928,849928,RXN_849928,oov,pediatric_absent,2971,76,caffeine citrate
procedure,HCPCS,87633,87633,HCPCS_87633,oov,unknown_unmappable,2965,825,RESP VIRUS 12-25 TARGETS
medication,RXNORM,312085,312085,RXN_312085,oov,pediatric_absent,2814,428,ondansetron HCl
medication,RXNORM,242800,242800,RXN_242800,oov,pediatric_absent,2789,60,ceftazidime
diagnosis,ICD9,redacted,,,redacted,redacted,2744,624,redacted
procedure,HCPCS,94010,94010,HCPCS_94010,oov,unknown_unmappable,2742,365,SPIROMETRY FLOW/VOL
medication,RXNORM,1435624,1435624,RXN_1435624,oov,pediatric_absent,2718,32,enalapril maleate
medication,RXNORM,1049630,1049630,RXN_1049630,oov,pediatric_absent,2633,224,diphenhydramine HCl
medication,RXNORM,422410,422410,RXN_422410,oov,pediatric_absent,2588,823,midazolam HCl
medication,RXNORM,309714,309714,RXN_309714,oov,pediatric_absent,2584,61,dextran 70/hypromellose
medication,RXNORM,1310578,1310578,RXN_1310578,oov,pediatric_absent,2577,29,medium chain triglycerides
medication,RXNORM,897756,897756,RXN_897756,oov,pediatric_absent,2573,370,hydromorphone HCl/PF
medication,RXNORM,428485,428485,RXN_428485,oov,pediatric_absent,2569,37,calcium carbonate/vitamin D3
medication,RXNORM,403908,403908,RXN_403908,oov,pediatric_absent,2484,443,ciprofloxacin HCl/dexameth
medication,RXNORM,692783,692783,RXN_692783,oov,pediatric_absent,2467,310,loratadine
medication,RXNORM,896239,896239,RXN_896239,oov,pediatric_absent,2458,87,fluticasone propion/salmeterol
medication,RXNORM,4511,4511,RXN_4511,oov,pediatric_absent,2453,76,"FA/mv,Ca,iron,min/lycopene/lut"
medication,RXNORM,855503,855503,RXN_855503,oov,pediatric_absent,2435,7,lipase/protease/amylase
medication,RXNORM,351261,351261,RXN_351261,oov,pediatric_absent,2297,136,lansoprazole
medication,RXNORM,617430,617430,RXN_617430,oov,pediatric_absent,2258,399,amoxicillin/potassium clav
medication,RXNORM,2418,2418,RXN_2418,oov,pediatric_absent,2238,23,pediatric multivit 61/D3/vit K
medication,RXNORM,311759,311759,RXN_311759,oov,pediatric_absent,2225,173,montelukast sodium
medication,RXNORM,706943,706943,RXN_706943,oov,pediatric_absent,2187,24,sodium chloride for inhalation
medication,RXNORM,200318,200318,RXN_200318,oov,pediatric_absent,2110,41,fat emulsions
medication,RXNORM,476576,476576,RXN_476576,oov,pediatric_absent,2102,660,cefdinir
medication,RXNORM,198434,198434,RXN_198434,oov,pediatric_absent,2083,320,acetaminophen
medication,RXNORM,351136,351136,RXN_351136,oov,pediatric_absent,2075,97,albuterol sulfate
medication,RXNORM,252732,252732,RXN_252732,oov,pediatric_absent,2046,158,melatonin
medication,RXNORM,854255,854255,RXN_854255,oov,pediatric_absent,2044,41,enoxaparin sodium
medication,RXNORM,849931,849931,RXN_849931,oov,pediatric_absent,2014,86,caffeine citrate
medication,RXNORM,1246288,1246288,RXN_1246288,oov,pediatric_absent,2009,67,budesonide/formoterol fumarate
diagnosis,ICD10,Z01.00,Z0100,ICD10_Z0100,oov,unknown_unmappable,1999,491,Visit for eye and vision exam
medication,RXNORM,1795477,1795477,RXN_1795477,oov,pediatric_absent,1913,293,dextrose 10 % in water
medication,RXNORM,204754,204754,RXN_204754,oov,pediatric_absent,1864,75,"petrolatum,white"
medication,RXNORM,1728999,1728999,RXN_1728999,oov,pediatric_absent,1841,60,morphine sulfate
medication,RXNORM,1246311,1246311,RXN_1246311,oov,pediatric_absent,1808,51,mometasone/formoterol
medication,RXNORM,309692,309692,RXN_309692,oov,pediatric_absent,1789,40,dexamethasone
medication,RXNORM,896267,896267,RXN_896267,oov,pediatric_absent,1784,27,fluticasone propion/salmeterol
medication,RXNORM,707329,707329,RXN_707329,oov,pediatric_absent,1772,222,sodium chloride
medication,RXNORM,993856,993856,RXN_993856,oov,pediatric_absent,1768,26,lacosamide
medication,RXNORM,901640,901640,RXN_901640,oov,pediatric_absent,1748,522,pneumoc 13-val conj-Dip crm/PF
medication,RXNORM,1359984,1359984,RXN_1359984,oov,pediatric_absent,1738,97,beclomethasone dipropionate
medication,RXNORM,8308,8308,RXN_8308,oov,pediatric_absent,1714,32,pedi multivit 40/phytonadione
medication,RXNORM,1728783,1728783,RXN_1728783,oov,pediatric_absent,1699,203,morphine sulfate/PF
medication,RXNORM,243675,243675,RXN_243675,oov,pediatric_absent,1697,286,acetaminophen
medication,RXNORM,421299,421299,RXN_421299,oov,pediatric_absent,1674,293,glycerin
medication,RXNORM,1300466,1300466,RXN_1300466,oov,pediatric_absent,1671,494,Haemoph b poly conj-tet tox/PF
medication,RXNORM,310133,310133,RXN_310133,oov,pediatric_absent,1663,333,racepinephrine HCl
medication,RXNORM,197745,197745,RXN_197745,oov,pediatric_absent,1644,124,guanfacine HCl
medication,RXNORM,403890,403890,RXN_403890,oov,pediatric_absent,1550,108,potassium chloride-0.45% NaCl
medication,RXNORM,197392,197392,RXN_197392,oov,pediatric_absent,1519,12,baclofen
medication,RXNORM,562266,562266,RXN_562266,oov,pediatric_absent,1511,286,clindamycin palmitate HCl
medication,RXNORM,857099,857099,RXN_857099,oov,pediatric_absent,1498,179,hydrocodone/acetaminophen
medication,RXNORM,221147,221147,RXN_221147,oov,pediatric_absent,1496,143,polyethylene glycol 3350
diagnosis,ICD10,G40.822,G40822,ICD10_G40822,oov,unknown_unmappable,1491,34,Infantile spasms
medication,RXNORM,312773,312773,RXN_312773,oov,pediatric_absent,1487,96,ranitidine HCl
diagnosis,ICD10,P07.30,P0730,ICD10_P0730,oov,unknown_unmappable,1444,153,Prematurity
medication,RXNORM,241109,241109,RXN_241109,oov,pediatric_absent,1426,27,hypromellose
medication,RXNORM,1307815,1307815,RXN_1307815,oov,pediatric_absent,1414,83,xanthan gum
medication,RXNORM,1331,1331,RXN_1331,oov,pediatric_absent,1400,480,barium sulfate
medication,RXNORM,6205,6205,RXN_6205,oov,pediatric_absent,1399,51,L. acidophilus/L.bulgaricus
diagnosis,ICD10,R62.52,R6252,ICD10_R6252,oov,unknown_unmappable,1393,161,Short stature (child)
medication,RXNORM,579996,579996,RXN_579996,oov,pediatric_absent,1392,10,"mineral oil/petrolatum,white"
medication,RXNORM,1726992,1726992,RXN_1726992,oov,pediatric_absent,1353,521,sugammadex sodium
medication,RXNORM,313123,313123,RXN_313123,oov,pediatric_absent,1352,58,sucralfate
medication,RXNORM,308056,308056,RXN_308056,oov,pediatric_absent,1311,98,alteplase
medication,RXNORM,829987,829987,RXN_829987,oov,pediatric_absent,1308,439,hep B vaccine/dp(a)t-polio/PF
medication,RXNORM,804146,804146,RXN_804146,oov,pediatric_absent,1294,95,cholecalciferol (vitamin D3)
medication,RXNORM,198445,198445,RXN_198445,oov,pediatric_absent,1286,223,acetaminophen
diagnosis,ICD10,Z00.121,Z00121,ICD10_Z00121,oov,unknown_unmappable,1271,378,Encounter for routine child health examination with abnormal findings
medication,RXNORM,580285,580285,RXN_580285,oov,pediatric_absent,1268,48,Saccharomyces boulardii
medication,RXNORM,240029,240029,RXN_240029,oov,pediatric_absent,1268,44,cholecalciferol (vitamin D3)
medication,RXNORM,1737759,1737759,RXN_1737759,oov,pediatric_absent,1247,646,lidocaine HCl/PF
medication,RXNORM,309065,309065,RXN_309065,oov,pediatric_absent,1216,70,cefotaxime sodium
diagnosis,ICD10,F80.4,F804,ICD10_F804,oov,unknown_unmappable,1196,31,Speech and language development delay due to hearing loss
medication,RXNORM,1310463,1310463,RXN_1310463,oov,pediatric_absent,1185,8,calcium phosphate
drg,DRG,OMAPR115,OMAPR115,DRG_OMAPR115,oov,unknown_unmappable,1175,1020,"OTHER EAR, NOSE, MOUTH,THROAT & CRANIAL/FACIAL DIAGNOSES"
medication,RXNORM,1807452,1807452,RXN_1807452,oov,pediatric_absent,1117,92,diazepam
medication,RXNORM,309318,309318,RXN_309318,oov,pediatric_absent,1108,21,potassium citrate/citric acid
diagnosis,ICD10,Z78.9,Z789,ICD10_Z789,oov,unknown_unmappable,1096,223,Ketogenic diet
medication,RXNORM,1741403,1741403,RXN_1741403,oov,pediatric_absent,1087,229,albumin human
medication,RXNORM,1091185,1091185,RXN_1091185,oov,pediatric_absent,1075,79,methylphenidate HCl
medication,RXNORM,647416,647416,RXN_647416,oov,pediatric_absent,1069,27,glycerin
medication,RXNORM,1658065,1658065,RXN_1658065,oov,pediatric_absent,1063,523,hepatitis A virus vaccine/PF
procedure,HCPCS,47058,47058,HCPCS_47058,oov,unknown_unmappable,1060,1060,OTHER SURGICAL HISTORY
medication,RXNORM,863599,863599,RXN_863599,oov,pediatric_absent,1051,52,oxybutynin chloride
medication,RXNORM,2048961,2048961,RXN_2048961,oov,pediatric_absent,1049,831,flu vacc qs2018-19(6mos up)/PF
medication,RXNORM,242446,242446,RXN_242446,oov,pediatric_absent,1017,288,ofloxacin
medication,RXNORM,2177393,2177393,RXN_2177393,oov,pediatric_absent,1015,813,flu vacc qs2019-20(6mos up)/PF
medication,RXNORM,204135,204135,RXN_204135,oov,pediatric_absent,1011,82,desonide
medication,RXNORM,2058900,2058900,RXN_2058900,oov,pediatric_absent,1002,34,cannabidiol (CBD)
medication,RXNORM,6972,6972,RXN_6972,oov,pediatric_absent,999,251,mineral oil/hydrophil petrolat
medication,RXNORM,349195,349195,RXN_349195,oov,pediatric_absent,992,16,clonazepam
medication,RXNORM,882527,882527,RXN_882527,oov,pediatric_absent,981,4,sildenafil citrate
medication,RXNORM,903843,903843,RXN_903843,oov,pediatric_absent,967,5,pyridostigmine bromide
drg,DRG,MS156,MS156,DRG_MS156,oov,unknown_unmappable,965,879,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC"
medication,RXNORM,239204,239204,RXN_239204,oov,pediatric_absent,957,147,gentamicin sulfate
medication,RXNORM,1247759,1247759,RXN_1247759,oov,pediatric_absent,955,59,docusate sodium
medication,RXNORM,311264,311264,RXN_311264,oov,pediatric_absent,953,23,lamotrigine
procedure,HCPCS,42516,42516,HCPCS_42516,oov,unknown_unmappable,946,946,HX ADENOIDECTOMY
medication,RXNORM,200010,200010,RXN_200010,oov,pediatric_absent,945,34,dimethicone
medication,RXNORM,1653202,1653202,RXN_1653202,oov,pediatric_absent,942,15,insulin aspart
diagnosis,ICD9,783.42,78342,PHE_264.3,oov,pediatric_absent,927,39,Delayed milestones
medication,RXNORM,1928302,1928302,RXN_1928302,oov,pediatric_absent,906,683,flu vacc qs2017-18 36mos up/PF
medication,RXNORM,857795,857795,RXN_857795,oov,pediatric_absent,896,4,treprostinil
medication,RXNORM,205315,205315,RXN_205315,oov,pediatric_absent,883,33,topiramate
medication,RXNORM,24942,24942,RXN_24942,oov,pediatric_absent,872,32,multivit-min/ferrous gluconate
diagnosis,ICD10,H65.493,H65493,ICD10_H65493,oov,unknown_unmappable,856,162,Chronic otitis media of both ears with effusion
procedure,HCPCS,42522,42522,HCPCS_42522,oov,unknown_unmappable,856,856,HX TYMPANOSTOMY
medication,RXNORM,801961,801961,RXN_801961,oov,pediatric_absent,849,134,diazepam
medication,RXNORM,801054,801054,RXN_801054,oov,pediatric_absent,840,72,sodium chloride/NaHCO3/KCl/peg
medication,RXNORM,7094,7094,RXN_7094,oov,pediatric_absent,832,11,saliva substitute combo no.9
medication,RXNORM,311237,311237,RXN_311237,oov,pediatric_absent,831,107,ketotifen fumarate
medication,RXNORM,197984,197984,RXN_197984,oov,pediatric_absent,829,13,minocycline HCl
procedure,HCPCS,42514,42514,HCPCS_42514,oov,unknown_unmappable,826,826,HX TONSIL AND ADENOIDECTOMY
medication,RXNORM,905273,905273,RXN_905273,oov,pediatric_absent,824,5,trihexyphenidyl HCl
diagnosis,ICD9,765.20,76520,ICD9_76520,oov,code_version_mismatch,811,126,Extreme prematurity
diagnosis,ICD9,765.10,76510,ICD9_76510,oov,code_version_mismatch,808,159,"Other preterm infants, unspecified (weight)(765.10)"
medication,RXNORM,1652639,1652639,RXN_1652639,oov,pediatric_absent,803,15,insulin lispro
medication,RXNORM,1311331,1311331,RXN_1311331,oov,pediatric_absent,799,40,"sodium,potassium phosphates"
medication,RXNORM,847230,847230,RXN_847230,oov,pediatric_absent,778,29,"insulin glargine,hum.rec.anlog"
procedure,HCPCS,76000,76000,HCPCS_76000,oov,unknown_unmappable,769,365,"FL FLUORO ONLY, UP TO 1 HR"
medication,RXNORM,388311,388311,RXN_388311,oov,pediatric_absent,767,4,carbamazepine
medication,RXNORM,1047895,1047895,RXN_1047895,oov,pediatric_absent,759,23,hyoscyamine sulfate
medication,RXNORM,477391,477391,RXN_477391,oov,pediatric_absent,756,67,levofloxacin
medication,RXNORM,351239,351239,RXN_351239,oov,pediatric_absent,742,11,ticarcillin/K clavulanate
medication,RXNORM,860192,860192,RXN_860192,oov,pediatric_absent,738,83,onabotulinumtoxinA
medication,RXNORM,1191212,1191212,RXN_1191212,oov,pediatric_absent,737,199,naloxone HCl
medication,RXNORM,197593,197593,RXN_197593,oov,pediatric_absent,720,5,diazoxide
medication,RXNORM,1311560,1311560,RXN_1311560,oov,pediatric_absent,716,151,norflurane/pentafluoropropane
medication,RXNORM,1807546,1807546,RXN_1807546,oov,pediatric_absent,714,78,sodium chloride 0.45 %
medication,RXNORM,199119,199119,RXN_199119,oov,pediatric_absent,709,86,omeprazole
medication,RXNORM,198437,198437,RXN_198437,oov,pediatric_absent,709,163,acetaminophen
medication,RXNORM,315134,315134,RXN_315134,oov,pediatric_absent,699,27,levocarnitine
diagnosis,ICD10,M41.45,M4145,ICD10_M4145,oov,unknown_unmappable,698,79,"Neuromuscular scoliosis, thoracolumbar region"
procedure,NCH_LOCAL,6161101,6161101,,oov,nch_local,687,687,NO KNOWN PAST SURGERIES
medication,RXNORM,1091210,1091210,RXN_1091210,oov,pediatric_absent,679,49,methylphenidate HCl
medication,RXNORM,1597094,1597094,RXN_1597094,oov,pediatric_absent,678,328,HPV vaccine 9-valent/PF
medication,RXNORM,483448,483448,RXN_483448,oov,pediatric_absent,677,6,pregabalin
medication,RXNORM,1551393,1551393,RXN_1551393,oov,pediatric_absent,666,169,midazolam HCl/PF
medication,RXNORM,200321,200321,RXN_200321,oov,pediatric_absent,663,3,paricalcitol
medication,RXNORM,309845,309845,RXN_309845,oov,pediatric_absent,659,44,diazepam
medication,RXNORM,702157,702157,RXN_702157,oov,pediatric_absent,657,7,calcium glubionate
procedure,HCPCS,42512,42512,HCPCS_42512,oov,unknown_unmappable,657,657,HX TONSILLECTOMY
medication,RXNORM,1809414,1809414,RXN_1809414,oov,pediatric_absent,631,30,immun glob G(IgG)/gly/IgA ov50
medication,RXNORM,1250432,1250432,RXN_1250432,oov,pediatric_absent,631,117,fentanyl citrate-0.9 % NaCl/PF
diagnosis,ICD10,H66.006,H66006,ICD10_H66006,oov,unknown_unmappable,631,141,"Acute suppurative otitis media without spontaneous rupture of ear drum, recurrent, bilateral"
medication,RXNORM,861221,861221,RXN_861221,oov,pediatric_absent,619,89,dextroamphetamine/amphetamine
medication,RXNORM,308749,308749,RXN_308749,oov,pediatric_absent,618,96,bisacodyl
medication,RXNORM,862006,862006,RXN_862006,oov,pediatric_absent,615,97,guanfacine HCl
diagnosis,ICD9,V72.0,V720,ICD9_V720,oov,code_version_mismatch,610,198,Visit for eye and vision exam
medication,RXNORM,1860157,1860157,RXN_1860157,oov,pediatric_absent,607,5,oxycodone HCl
medication,RXNORM,351250,351250,RXN_351250,oov,pediatric_absent,605,36,escitalopram oxalate
medication,RXNORM,84990,84990,RXN_84990,oov,pediatric_absent,591,287,gadobutrol
medication,RXNORM,1794440,1794440,RXN_1794440,oov,pediatric_absent,586,470,flu vacc qs2016-17 36mos up/PF
medication,RXNORM,1739785,1739785,RXN_1739785,oov,pediatric_absent,576,13,brivaracetam
diagnosis,ICD10,T17.908D,T17908D,ICD10_T17908D,oov,unknown_unmappable,572,87,"Aspiration into airway, subsequent encounter"
medication,RXNORM,284215,284215,RXN_284215,oov,pediatric_absent,572,126,clindamycin HCl
medication,RXNORM,810000,810000,RXN_810000,oov,pediatric_absent,564,12,lacosamide
medication,RXNORM,805576,805576,RXN_805576,oov,pediatric_absent,564,257,"rotavirus vac,live att, 89-12"
medication,RXNORM,27792,27792,RXN_27792,oov,pediatric_absent,559,286,ioversol
medication,RXNORM,308704,308704,RXN_308704,oov,pediatric_absent,558,6,vitamin A
medication,RXNORM,199370,199370,RXN_199370,oov,pediatric_absent,556,28,ciprofloxacin HCl
medication,RXNORM,895966,895966,RXN_895966,oov,pediatric_absent,555,61,glycerin
diagnosis,ICD9,259.1,2591,PHE_259.4,oov,pediatric_absent,546,54,Premature adrenarche
medication,RXNORM,204625,204625,RXN_204625,oov,pediatric_absent,546,31,riboflavin (vitamin B2)
medication,RXNORM,5971,5971,RXN_5971,oov,pediatric_absent,537,169,iothalamate meglumine
medication,RXNORM,198496,198496,RXN_198496,oov,pediatric_absent,537,39,benzocaine
diagnosis,ICD10,R62.0,R620,PHE_264.3,oov,pediatric_absent,535,67,Delayed milestone in childhood
medication,RXNORM,1806181,1806181,RXN_1806181,oov,pediatric_absent,535,53,methylphenidate HCl
medication,RXNORM,896004,896004,RXN_896004,oov,pediatric_absent,534,25,fluticasone propionate
medication,RXNORM,205121,205121,RXN_205121,oov,pediatric_absent,534,120,mineral oil
medication,RXNORM,1246308,1246308,RXN_1246308,oov,pediatric_absent,527,60,mometasone/formoterol
medication,RXNORM,1867594,1867594,RXN_1867594,oov,pediatric_absent,524,337,bupivacaine HCl/epinephrine/PF
medication,RXNORM,797638,797638,RXN_797638,oov,pediatric_absent,521,346,"mening vac A,C,Y,W-135 dip/PF"
medication,RXNORM,1091170,1091170,RXN_1091170,oov,pediatric_absent,517,60,methylphenidate HCl
procedure,HCPCS,42772,42772,HCPCS_42772,oov,unknown_unmappable,510,510,CIRCUMCISION
medication,RXNORM,310285,310285,RXN_310285,oov,pediatric_absent,509,7,felbamate
diagnosis,ICD9,V82.5,V825,ICD9_V825,oov,code_version_mismatch,508,177,Screening for chemical poisoning and other contamination
medication,RXNORM,1650274,1650274,RXN_1650274,oov,pediatric_absent,502,2,cholecalciferol (vitamin D3)
medication,RXNORM,582969,582969,RXN_582969,oov,pediatric_absent,493,3,somatropin
diagnosis,ICD10,H93.3X3,H933X3,ICD10_H933X3,oov,unknown_unmappable,493,7,Auditory neuropathy spectrum disorder of both ears
drg,DRG,OMAPR058,OMAPR058,DRG_OMAPR058,oov,unknown_unmappable,492,471,OTHER DISORDERS OF NERVOUS SYSTEM
medication,RXNORM,198946,198946,RXN_198946,oov,pediatric_absent,490,22,pyridoxine HCl (vitamin B6)
medication,RXNORM,1292457,1292457,RXN_1292457,oov,pediatric_absent,489,389,varicella vaccine live/PF
drg,DRG,OMAPR144,OMAPR144,DRG_OMAPR144,oov,unknown_unmappable,486,453,"RESPIRATORY SIGNS, SYMPTOMS & MINOR DIAGNOSES"
medication,RXNORM,1863973,1863973,RXN_1863973,oov,pediatric_absent,479,119,potassium chloride/D5-0.2%NaCl
