rxcui,level1_token,level2_token,level3_token,tty
312615,RXN_312615,RXN_312615,THERA_HORMONES,Semantic Clinical Drug
198145,RXN_198145,RXN_198145,THERA_HORMONES,Semantic Clinical Drug
307707,RXN_307707,RXN_307707,THERA_SKIN_PREPS,Semantic Clinical Drug
1300189,RXN_1300191,,THERA_BIOLOGICALS,Semantic Clinical Drug
797638,RXN_797641,,THERA_BIOLOGICALS,Semantic Clinical Drug
1597094,,,THERA_BIOLOGICALS,Semantic Clinical Drug
1014678,RXN_1014678,RXN_1014678,THERA_ANTIHISTAMINES,Semantic Clinical Drug
311237,,,THERA_ANTIHISTAMINES,Semantic Clinical Drug
1085644,RXN_1085644,RXN_1085644,THERA_SKIN_PREPS,Semantic Clinical Drug
9871,,INGSET_999622+999637,THERA_SKIN_PREPS,Precise Ingredient
1247759,,,THERA_GASTROINTESTINAL,Semantic Clinical Drug
1794440,,,THERA_BIOLOGICALS,Semantic Clinical Drug
308071,,,THERA_SKIN_PREPS,Semantic Clinical Drug
198012,RXN_198012,RXN_198012,THERA_ANTIARTHRITICS,Semantic Clinical Drug
1928302,,,THERA_BIOLOGICALS,Semantic Clinical Drug
1000990,RXN_1000990,RXN_1000990,THERA_EENT_PREPS,Semantic Clinical Drug
311681,RXN_311681,RXN_311681,THERA_ANTIBIOTICS,Semantic Clinical Drug
746814,,,THERA_ANTIASTHMATICS,Semantic Clinical Drug
198051,RXN_198051,RXN_198051,THERA_GASTROINTESTINAL,Semantic Clinical Drug
313782,RXN_313782,RXN_313782,THERA_ANALGESICS,Semantic Clinical Drug
204602,RXN_204602,RXN_204602,THERA_ANTIBIOTICS,Semantic Clinical Drug
8091,,INGSET_1006094+1006095+1037283+1037284+1043548+1044966+1048967+1048968+1049071+1049073+1049079+1050084+1050085+1053006+1085619+1090955+1100454+1114999+1116949+1154633+1155108+1156211+1156405+1156406+1156409+1156412+1159471+1162824+1162825+1164101+1164732+1164733+1164734+1164736+1165442+1249113+1249114+1249115+1302265+1303160+1372297+1373225+1427953+1438775+1440180+1442855+1492065+1540659+1651590+1728287+1745447+1745448+1792861+1792881+1793019+1946472+1946473+1946474+2003164+2105861+2118569+2284659+2383007+2599181+2642218+2642219+2719615+330569+332237+340724+343356+367375+376361+376515+376977+377357+377790+385030+393552+486180+579998+580000+581801+581805+581814+617978+617979+631802+637147+645280+645585+664979+664980+672573+686451+686453+702002+702007+706819+725144+827667+835546+849641+849642+866210+904505+904552+968667+968775+968776,THERA_MISCELLANEOUS_MEDICAL_SUPPLIES_DEVICES_NON_DRUG,Ingredient
197519,RXN_197519,RXN_197519,THERA_ANTIBIOTICS,Semantic Clinical Drug
197738,RXN_197738,RXN_197738,THERA_GASTROINTESTINAL,Semantic Clinical Drug
307731,,,THERA_SKIN_PREPS,Semantic Clinical Drug
308696,RXN_992496,,THERA_SKIN_PREPS,Semantic Clinical Drug
2048961,,,THERA_BIOLOGICALS,Semantic Clinical Drug
309332,,,THERA_ANTIBIOTICS,Semantic Clinical Drug
310965,,,THERA_ANTIARTHRITICS,Semantic Clinical Drug
1534809,,,THERA_CONTRACEPTIVES,Semantic Clinical Drug
1000126,RXN_1000126,RXN_1000126,THERA_CONTRACEPTIVES,Semantic Clinical Drug
103401,RXN_103401,RXN_103401,THERA_SKIN_PREPS,Semantic Clinical Drug
107129,,,THERA_UNCLASSIFIED_DRUG_PRODUCTS,Precise Ingredient
203088,RXN_203088,RXN_203088,THERA_ANTIFUNGALS,Semantic Clinical Drug
1797890,,,THERA_EENT_PREPS,Semantic Clinical Drug
1721315,RXN_1721315,RXN_1721315,THERA_ANTIFUNGALS,Semantic Clinical Drug
849931,,,THERA_CNS_DRUGS,Semantic Clinical Drug
200317,,,THERA_GASTROINTESTINAL,Semantic Clinical Drug
239204,,,THERA_ANTIBIOTICS,Semantic Clinical Drug
849928,,,THERA_CNS_DRUGS,Semantic Clinical Drug
1298068,RXN_1298360,,THERA_EENT_PREPS,Semantic Clinical Drug
8308,,INGSET_1089778+1089779+1153024+1153025+1161771+1161772+1161773+1295549+1304555+1304556+1304557+1305196+1670191+1923352+1923353+1923354+316518+316519+317466+346149+373450+577044+727624,THERA_VITAMINS,Ingredient
1191013,RXN_1191013,RXN_1191013,THERA_EENT_PREPS,Semantic Clinical Drug
241109,,,THERA_EENT_PREPS,Semantic Clinical Drug
1300466,,,THERA_BIOLOGICALS,Semantic Clinical Drug
829987,,,THERA_BIOLOGICALS,Semantic Clinical Drug
901640,RXN_901644,,THERA_BIOLOGICALS,Semantic Clinical Drug
309065,,,THERA_ANTIBIOTICS,Semantic Clinical Drug
144450,,INGSET_1043294+1092393+1374379+334324+352790+439156+808666+830734+883746+884744+884749,THERA_ELECT_CALORIC_H2O,Precise Ingredient
198102,RXN_198102,RXN_198102,THERA_VITAMINS,Semantic Clinical Drug
876863,,,THERA_VITAMINS,Semantic Clinical Drug
312055,RXN_312055,RXN_312055,THERA_ANTIFUNGALS,Semantic Clinical Drug
1657361,,,THERA_ANTIVIRALS,Semantic Clinical Drug
1298072,,,THERA_EENT_PREPS,Semantic Clinical Drug
1234579,RXN_1234579,RXN_1234579,THERA_EENT_PREPS,Semantic Clinical Drug
1010033,RXN_1010033,RXN_1010033,THERA_ANESTHETICS,Semantic Clinical Drug
1659754,,,THERA_BIOLOGICALS,Semantic Clinical Drug
1658065,,,THERA_BIOLOGICALS,Semantic Clinical Drug
804183,RXN_804186,,THERA_BIOLOGICALS,Semantic Clinical Drug
1292457,RXN_1292459,,THERA_BIOLOGICALS,Semantic Clinical Drug
1300382,,,THERA_BIOLOGICALS,Semantic Clinical Drug
543546,RXN_543546,RXN_543546,THERA_ANTIFUNGALS,Semantic Clinical Drug
1665021,RXN_1665021,RXN_1665021,THERA_ANTIBIOTICS,Semantic Clinical Drug
104894,RXN_104894,RXN_104894,THERA_GASTROINTESTINAL,Semantic Clinical Drug
311659,RXN_311659,RXN_311659,THERA_HORMONES,Semantic Clinical Drug
836358,RXN_836358,RXN_836358,THERA_ANTIASTHMATICS,Semantic Clinical Drug
1360074,,,THERA_ANTIASTHMATICS,Semantic Clinical Drug
1867594,,,THERA_ANESTHETICS,Semantic Clinical Drug
312085,,,THERA_GASTROINTESTINAL,Semantic Clinical Drug
312075,RXN_312075,RXN_312075,THERA_ANTIBIOTICS,Semantic Clinical Drug
205121,,,THERA_GASTROINTESTINAL,Semantic Clinical Drug
1928330,,,THERA_BIOLOGICALS,Semantic Clinical Drug
1359984,,,THERA_ANTIASTHMATICS,Semantic Clinical Drug
310891,RXN_310891,RXN_310891,THERA_SKIN_PREPS,Semantic Clinical Drug
1998771,,,THERA_ANTIASTHMATICS,Semantic Clinical Drug
896239,,,THERA_ANTIASTHMATICS,Semantic Clinical Drug
253017,RXN_253017,RXN_253017,THERA_GASTROINTESTINAL,Semantic Clinical Drug
1085636,RXN_1085636,RXN_1085636,THERA_SKIN_PREPS,Semantic Clinical Drug
283100,RXN_283100,RXN_283100,THERA_GASTROINTESTINAL,Semantic Clinical Drug
221147,,INGSET_1152330+1162918+1162920+1162922+1718977+1718981+1718982+1719694+1870179+1870184+1870185+1870356+1870357+1870358+1870396+1870401+1870402+1870412+2045229+2045230+2045231+2045235+2045239+2045240+2045241+2641134+2641139+2641140+2641141,THERA_GASTROINTESTINAL,Ingredient
801054,,,THERA_GASTROINTESTINAL,Semantic Clinical Drug
1292440,,,THERA_BIOLOGICALS,Semantic Clinical Drug
830555,,,THERA_BIOLOGICALS,Semantic Clinical Drug
251020,,,THERA_GASTROINTESTINAL,Semantic Clinical Drug
1665212,RXN_1665212,RXN_1665212,THERA_ANTIBIOTICS,Semantic Clinical Drug
198440,RXN_198440,RXN_198440,THERA_ANALGESICS,Semantic Clinical Drug
197805,RXN_197805,RXN_197805,THERA_ANTIARTHRITICS,Semantic Clinical Drug
197806,RXN_197806,RXN_197806,THERA_ANTIARTHRITICS,Semantic Clinical Drug
284215,,,THERA_ANTIBIOTICS,Semantic Clinical Drug
309309,RXN_309309,RXN_309309,THERA_ANTIBIOTICS,Semantic Clinical Drug
312773,,,THERA_GASTROINTESTINAL,Semantic Clinical Drug
857002,RXN_857002,RXN_857002,THERA_ANALGESICS,Semantic Clinical Drug
1010688,RXN_1010692,,THERA_ANESTHETICS,Semantic Clinical Drug
486515,RXN_486515,RXN_486515,THERA_SKIN_PREPS,Semantic Clinical Drug
1725078,RXN_1725078,RXN_1725078,THERA_ANESTHETICS,Semantic Clinical Drug
1298066,RXN_1298066,RXN_1298066,THERA_EENT_PREPS,Semantic Clinical Drug
314238,RXN_314238,RXN_314238,THERA_EENT_PREPS,Semantic Clinical Drug
244967,RXN_244967,RXN_244967,THERA_ANTIBIOTICS,Semantic Clinical Drug
91189,,INGSET_1543157+1546035+1547976+1809044+1809051+3343+542486+603899,THERA_ANESTHETICS,Precise Ingredient
422410,,,THERA_SEDATIVE_HYPNOTICS,Semantic Clinical Drug
856783,RXN_856783,RXN_856783,THERA_PSYCHOTHERAPEUTIC_DRUGS,Semantic Clinical Drug
858751,RXN_858751,RXN_858751,THERA_GASTROINTESTINAL,Semantic Clinical Drug
309114,RXN_309114,RXN_309114,THERA_ANTIBIOTICS,Semantic Clinical Drug
858804,RXN_858804,RXN_858804,THERA_CARDIOVASCULAR,Semantic Clinical Drug
308191,,,THERA_ANTIBIOTICS,Semantic Clinical Drug
318272,RXN_318272,RXN_318272,THERA_ANTIPLATELET_DRUGS,Semantic Clinical Drug
863664,RXN_863664,RXN_863664,THERA_UNCLASSIFIED_DRUG_PRODUCTS,Semantic Clinical Drug
238720,RXN_238720,RXN_238720,THERA_BLOOD,Semantic Clinical Drug
1791840,RXN_1791840,RXN_1791840,THERA_CARDIAC_DRUGS,Semantic Clinical Drug
1191212,,,THERA_ANTIDOTES,Semantic Clinical Drug
857099,,,THERA_ANALGESICS,Semantic Clinical Drug
1049621,RXN_1049621,RXN_1049621,THERA_ANALGESICS,Semantic Clinical Drug
197590,RXN_197590,RXN_197590,THERA_PSYCHOTHERAPEUTIC_DRUGS,Semantic Clinical Drug
308416,RXN_308416,RXN_308416,THERA_ANTIPLATELET_DRUGS,Semantic Clinical Drug
1116294,RXN_1116294,RXN_1116294,THERA_CARDIOVASCULAR,Semantic Clinical Drug
1657844,,,THERA_BIOLOGICALS,Semantic Clinical Drug
863636,RXN_863636,RXN_863636,THERA_UNCLASSIFIED_DRUG_PRODUCTS,Semantic Clinical Drug
833008,,,THERA_HORMONES,Semantic Clinical Drug
1000405,RXN_1000405,RXN_1000405,THERA_HORMONES,Semantic Clinical Drug
858813,RXN_858813,RXN_858813,THERA_CARDIOVASCULAR,Semantic Clinical Drug
598025,,,THERA_ANTIBIOTICS,Semantic Clinical Drug
84990,,INGSET_84990,THERA_DIAGNOSTIC,Ingredient
1665050,RXN_1665050,RXN_1665050,THERA_ANTIBIOTICS,Semantic Clinical Drug
746083,RXN_746083,RXN_746083,THERA_EENT_PREPS,Semantic Clinical Drug
1797867,,,THERA_EENT_PREPS,Semantic Clinical Drug
198191,RXN_198191,RXN_198191,THERA_GASTROINTESTINAL,Semantic Clinical Drug
199362,RXN_199362,RXN_199362,THERA_VITAMINS,Semantic Clinical Drug
966221,RXN_966221,RXN_966221,THERA_THYROID_PREPS,Semantic Clinical Drug
966224,RXN_966224,RXN_966224,THERA_THYROID_PREPS,Semantic Clinical Drug
198014,,,THERA_ANTIARTHRITICS,Semantic Clinical Drug
1605252,,,THERA_CONTRACEPTIVES,Semantic Clinical Drug
1361226,RXN_1361226,RXN_1361226,THERA_ANTICOAGULANTS,Semantic Clinical Drug
1654006,RXN_1654006,RXN_1654006,THERA_ANESTHETICS,Semantic Clinical Drug
1366334,,,THERA_CONTRACEPTIVES,Semantic Clinical Drug
1658692,RXN_1658692,RXN_1658692,THERA_ANTICOAGULANTS,Semantic Clinical Drug
1721475,RXN_1721475,RXN_1721475,THERA_ANTIBIOTICS,Semantic Clinical Drug
313996,RXN_313996,RXN_313996,THERA_ANTIBIOTICS,Semantic Clinical Drug
646456,,,THERA_ANTIFUNGALS,Semantic Clinical Drug
876858,RXN_876861,,THERA_VITAMINS,Semantic Clinical Drug
1191222,,,THERA_ANTIDOTES,Semantic Clinical Drug
828525,RXN_828525,RXN_828525,THERA_ELECT_CALORIC_H2O,Semantic Clinical Drug
1741375,RXN_1741375,RXN_1741375,THERA_BLOOD,Semantic Clinical Drug
1741403,,,THERA_BLOOD,Semantic Clinical Drug
1719286,RXN_1719286,RXN_1719286,THERA_DIURETICS,Semantic Clinical Drug
312515,RXN_312515,RXN_312515,THERA_ELECT_CALORIC_H2O,Semantic Clinical Drug
307702,RXN_307702,RXN_307702,THERA_DIURETICS,Semantic Clinical Drug
1361029,RXN_1361029,RXN_1361029,THERA_ANTICOAGULANTS,Semantic Clinical Drug
312563,,,THERA_SKIN_PREPS,Semantic Clinical Drug
864761,,,THERA_ANALGESICS,Semantic Clinical Drug
197730,RXN_197730,RXN_197730,THERA_DIURETICS,Semantic Clinical Drug
1010759,RXN_1010759,RXN_1010759,THERA_ANESTHETICS,Semantic Clinical Drug
310497,RXN_153095,,THERA_ELECT_CALORIC_H2O,Semantic Clinical Drug
308352,,,THERA_DIAGNOSTIC,Semantic Clinical Drug
729232,,,THERA_HORMONES,Semantic Clinical Drug
863619,RXN_863619,RXN_863619,THERA_UNCLASSIFIED_DRUG_PRODUCTS,Semantic Clinical Drug
310431,RXN_310431,RXN_310431,THERA_CNS_DRUGS,Semantic Clinical Drug
1427027,,,THERA_BIOLOGICALS,Semantic Clinical Drug
205964,RXN_205964,RXN_205964,THERA_ANTIBIOTICS,Semantic Clinical Drug
1728999,,,THERA_ANALGESICS,Semantic Clinical Drug
1115005,RXN_1115005,RXN_1115005,THERA_GASTROINTESTINAL,Semantic Clinical Drug
198052,RXN_198052,RXN_198052,THERA_GASTROINTESTINAL,Semantic Clinical Drug
314077,RXN_314077,RXN_314077,THERA_CARDIOVASCULAR,Semantic Clinical Drug
1367410,RXN_1367410,RXN_1367410,THERA_VITAMINS,Semantic Clinical Drug
205326,,,THERA_CARDIOVASCULAR,Semantic Clinical Drug
197849,,,THERA_CARDIAC_DRUGS,Semantic Clinical Drug
1868486,RXN_1868486,RXN_1868486,THERA_ELECT_CALORIC_H2O,Semantic Clinical Drug
199211,RXN_199211,RXN_199211,THERA_AUTONOMIC_DRUGS,Semantic Clinical Drug
1242904,RXN_1242904,RXN_1242904,THERA_CARDIOVASCULAR,Semantic Clinical Drug
239998,RXN_205918,,THERA_COLONY_STIMULATING_FACTORS,Semantic Clinical Drug
308869,RXN_308869,RXN_308869,THERA_VITAMINS,Semantic Clinical Drug
966571,RXN_966571,RXN_966571,THERA_CARDIOVASCULAR,Semantic Clinical Drug
846127,,,THERA_SKIN_PREPS,Semantic Clinical Drug
197435,RXN_197435,RXN_197435,THERA_ELECT_CALORIC_H2O,Semantic Clinical Drug
896771,RXN_896771,RXN_896771,THERA_CARDIOVASCULAR,Semantic Clinical Drug
308907,RXN_308907,RXN_308907,THERA_GASTROINTESTINAL,Semantic Clinical Drug
1812011,RXN_207772,,THERA_CARDIAC_DRUGS,Semantic Clinical Drug
896758,RXN_896758,RXN_896758,THERA_CARDIOVASCULAR,Semantic Clinical Drug
1014676,,,THERA_ANTIHISTAMINES,Semantic Clinical Drug
197848,RXN_197848,RXN_197848,THERA_CARDIAC_DRUGS,Semantic Clinical Drug
