scenario,model,internal_model,evaluation_protocol,label_set,AUROC,AUPRC,BCE,CF_RMSE_age,CF_RMSE_lag,Surface_RMSE,surface_definition,mechanism_classification,beta_hat,beta_true,beta_sign_match,delta_BCE_age_shuffle,delta_BCE_beta0,delta_BCE_constant_age,lambda_corr,lambda_RMSE,S5_Surface_RMSE_acute,S5_Surface_RMSE_intermediate,S5_Surface_RMSE_chronic,S5_Surface_RMSE_mean,persistence_order_correct,parameter_count,notes
S0,Previous DTR (age-only),dtr_age_only,shared_full_label,all_32_targets,0.6847193656429312,0.4219035480124109,0.5187987907974381,0.10789013744474897,0.0975823405574476,0.1244819515934898,prediction_probability,PARTIAL_RECOVERY,0.0,0.0,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,814912,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients. beta_hat/lambda read from best_checkpoint temporal.beta/theta0; ablations were not saved.
S1,Previous DTR (age-only),dtr_age_only,shared_full_label,all_32_targets,0.707861094366567,0.4573508632097864,0.5089623021944547,0.1833354981324849,0.14966384427873647,0.18704223148267585,prediction_probability,NO_MECHANISM_RECOVERY,0.0,0.0,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,814912,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients. beta_hat/lambda read from best_checkpoint temporal.beta/theta0; ablations were not saved.
S2,Previous DTR (age-only),dtr_age_only,shared_full_label,all_32_targets,0.7391703960590388,0.5438621944924698,0.4753167949612038,0.18698744152257019,0.17440324531755866,0.21269530173925405,prediction_probability,NO_MECHANISM_RECOVERY,0.0,-2.5,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,814912,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients. beta_hat/lambda read from best_checkpoint temporal.beta/theta0; ablations were not saved.
S3,Previous DTR (age-only),dtr_age_only,shared_full_label,all_32_targets,0.7113243885560692,0.4970520473769371,0.502519797710081,0.14044721920426442,0.1109862047254232,0.15236713530528195,prediction_probability,NO_MECHANISM_RECOVERY,0.0,2.5,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,814912,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients. beta_hat/lambda read from best_checkpoint temporal.beta/theta0; ablations were not saved.
S5,Previous DTR (age-only),dtr_age_only,shared_full_label,all_32_targets,0.7479558291367344,0.5409085294744242,0.47755713137330363,0.22075113206300268,0.12445650485709499,0.16976505294815394,prediction_probability,NO_HETEROGENEOUS_PERSISTENCE_RECOVERY,0.0,-2.5,False,NA,NA,NA,NA,NA,0.36004194142362983,0.26043974334627135,0.33984590020773764,0.32010919499254625,False,814912,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients. beta_hat/lambda read from best_checkpoint temporal.beta/theta0; ablations were not saved.
S0,Previous DTR (no age),dtr_no_age,shared_full_label,all_32_targets,0.6844326398565582,0.42427767625940993,0.5186830001339151,0.12711520872166107,0.10198602520716998,0.12843719165546788,prediction_probability,PARTIAL_RECOVERY,0.0,0.0,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,814624,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients. beta_hat/lambda read from best_checkpoint temporal.beta/theta0; ablations were not saved.
S1,Previous DTR (no age),dtr_no_age,shared_full_label,all_32_targets,0.709398268821437,0.45991362555354415,0.5080125363275084,0.18263526771243524,0.14581649296568094,0.1928646346620086,prediction_probability,NO_MECHANISM_RECOVERY,0.0,0.0,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,814624,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients. beta_hat/lambda read from best_checkpoint temporal.beta/theta0; ablations were not saved.
S2,Previous DTR (no age),dtr_no_age,shared_full_label,all_32_targets,0.7357498421546737,0.5368777920939666,0.4781701859476487,0.19471924379760877,0.1616096524318074,0.2209947286226049,prediction_probability,NO_MECHANISM_RECOVERY,0.0,-2.5,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,814624,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients. beta_hat/lambda read from best_checkpoint temporal.beta/theta0; ablations were not saved.
S3,Previous DTR (no age),dtr_no_age,shared_full_label,all_32_targets,0.7069761102248724,0.49213978014564475,0.504462449664896,0.16148515709018516,0.11374984351958395,0.17397368762474028,prediction_probability,NO_MECHANISM_RECOVERY,0.0,2.5,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,814624,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients. beta_hat/lambda read from best_checkpoint temporal.beta/theta0; ablations were not saved.
S5,Previous DTR (no age),dtr_no_age,shared_full_label,all_32_targets,0.74875513055379,0.5416954025803973,0.4778529533530102,0.2234238372021708,0.11145388587000064,0.17505310809764232,prediction_probability,PARTIAL_HETEROGENEOUS_PERSISTENCE_RECOVERY,0.0,-2.5,False,NA,NA,NA,NA,NA,0.2839824171756388,0.2548312221606224,0.20150807708923496,0.24677390547516542,False,814624,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients. beta_hat/lambda read from best_checkpoint temporal.beta/theta0; ablations were not saved.
S0,Count + LightGBM,count_lightgbm,shared_full_label,all_32_targets,0.6764262101339802,0.4041516740195133,0.5240352459381861,0.13315036607044697,0.1088105308048121,0.12714998291567858,prediction_probability,PARTIAL_RECOVERY,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients.
S1,Count + LightGBM,count_lightgbm,shared_full_label,all_32_targets,0.6950481336787079,0.4400450485501328,0.5152887349155001,0.18271410613419964,0.15532951824269264,0.186274844934103,prediction_probability,NO_MECHANISM_RECOVERY,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients.
S2,Count + LightGBM,count_lightgbm,shared_full_label,all_32_targets,0.7287378904539711,0.5204211769741867,0.48418906170608894,0.19259326108816904,0.21965649318676714,0.2071067906693188,prediction_probability,NO_MECHANISM_RECOVERY,NA,-2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients.
S3,Count + LightGBM,count_lightgbm,shared_full_label,all_32_targets,0.7064555593011286,0.48769548798716617,0.5054093740525071,0.14779522546674329,0.1265466732657363,0.15873331599923154,prediction_probability,NO_MECHANISM_RECOVERY,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients.
S5,Count + LightGBM,count_lightgbm,shared_full_label,all_32_targets,0.7369950145636368,0.5264124001734939,0.48397261946842485,0.13721502163309673,0.10714305333035457,0.10907289030805488,prediction_probability,PARTIAL_HETEROGENEOUS_PERSISTENCE_RECOVERY,NA,-2.5,NA,NA,NA,NA,NA,NA,0.17737730039357802,0.14840668089826173,0.10307011685808892,0.14295136604997621,False,NA,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients.
S0,RETAIN,retain,shared_full_label,all_32_targets,0.6321535392064408,0.3589857088839732,0.5426335544167826,0.1504379426130384,0.1358159509034453,0.15622829879787603,prediction_probability,PARTIAL_RECOVERY,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,291489,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients.
S1,RETAIN,retain,shared_full_label,all_32_targets,0.6329945611813136,0.35794484613481625,0.5438626222476282,0.22592863923555703,0.17415197566320967,0.21766787472905225,prediction_probability,NO_MECHANISM_RECOVERY,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,291489,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients.
S2,RETAIN,retain,shared_full_label,all_32_targets,0.6754570275068469,0.434904723874658,0.5204926645085932,0.22259415110144776,0.19305304830790904,0.23632075771887726,prediction_probability,NO_MECHANISM_RECOVERY,NA,-2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,291489,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients.
S3,RETAIN,retain,shared_full_label,all_32_targets,0.6069475148626466,0.3571356015168486,0.5490762499508234,0.22278310432494905,0.200417995716798,0.21729257335797186,prediction_probability,NO_MECHANISM_RECOVERY,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,291489,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients.
S5,RETAIN,retain,shared_full_label,all_32_targets,0.6710467450615982,0.41995148066680643,0.5266841488584628,0.24439975926523236,0.17084537508141,0.2029839670036052,prediction_probability,NO_HETEROGENEOUS_PERSISTENCE_RECOVERY,NA,-2.5,NA,NA,NA,NA,NA,NA,0.3074460588841163,0.2141409515229576,0.2987770631614277,0.27345469118950055,False,291489,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients.
S0,EHR-BERT,ehr_bert,shared_full_label,all_32_targets,0.6775180440999151,0.4132730405173286,0.5231726564634825,0.12972364507893944,0.11081118987605869,0.13522214569877658,prediction_probability,PARTIAL_RECOVERY,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3379232,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients.
S1,EHR-BERT,ehr_bert,shared_full_label,all_32_targets,0.6972044961684921,0.4431947633977149,0.5152785717922294,0.18696455286438332,0.16591375936522898,0.20610041112839145,prediction_probability,NO_MECHANISM_RECOVERY,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3379232,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients.
S2,EHR-BERT,ehr_bert,shared_full_label,all_32_targets,0.7311908869154596,0.5240174387304106,0.4835081567526189,0.21087936715672156,0.1947272641321826,0.23387091107026506,prediction_probability,NO_MECHANISM_RECOVERY,NA,-2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3379232,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients.
S3,EHR-BERT,ehr_bert,shared_full_label,all_32_targets,0.7017883271075869,0.48194228123348987,0.5083041514357277,0.17779768984484912,0.1100835689246729,0.17397667379367174,prediction_probability,NO_MECHANISM_RECOVERY,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3379232,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients.
S5,EHR-BERT,ehr_bert,shared_full_label,all_32_targets,0.7380493738023421,0.5195688501216945,0.48589072385811793,0.22629514988815258,0.13081390017911187,0.1744299091378988,prediction_probability,PARTIAL_HETEROGENEOUS_PERSISTENCE_RECOVERY,NA,-2.5,NA,NA,NA,NA,NA,NA,0.18918226797841142,0.20195269904648114,0.16118416555521808,0.18410637752670356,False,3379232,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients.
S0,Med-BERT,medbert,shared_full_label,all_32_targets,0.673444232143667,0.40938242168484934,0.5247414245555345,0.1570845489175863,0.14031027625635725,0.15201453888738842,prediction_probability,PARTIAL_RECOVERY,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2821280,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients.
S1,Med-BERT,medbert,shared_full_label,all_32_targets,0.6954422606366687,0.4429163362184387,0.5157926639971672,0.20756627066404035,0.16114263193173692,0.19420513367597494,prediction_probability,NO_MECHANISM_RECOVERY,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2821280,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients.
S2,Med-BERT,medbert,shared_full_label,all_32_targets,0.7265579128836528,0.5154060889610518,0.48708387487514393,0.1940623656226302,0.19620154390176972,0.23435308132621824,prediction_probability,NO_MECHANISM_RECOVERY,NA,-2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2821280,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients.
S3,Med-BERT,medbert,shared_full_label,all_32_targets,0.7003631116725944,0.4790053112113866,0.5101881308034171,0.1887189379227053,0.12404673082339705,0.18309500177854826,prediction_probability,NO_MECHANISM_RECOVERY,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2821280,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients.
S5,Med-BERT,medbert,shared_full_label,all_32_targets,0.735388812594908,0.5208639695020822,0.4866448258790074,0.22395385845959576,0.09885111712219147,0.17607975649924126,prediction_probability,PARTIAL_HETEROGENEOUS_PERSISTENCE_RECOVERY,NA,-2.5,NA,NA,NA,NA,NA,NA,0.21119746477992707,0.19966350463170093,0.16272766154434035,0.1911962103186561,False,2821280,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients.
S0,BEHRT,behrt,shared_full_label,all_32_targets,0.6457500062556398,0.37200928643149084,0.5375498933654976,0.1480518934423839,0.1255784454072542,0.14188120526172893,prediction_probability,PARTIAL_RECOVERY,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6255392,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients.
S1,BEHRT,behrt,shared_full_label,all_32_targets,0.6961718502539264,0.4379717482244873,0.5165036567009293,0.1774569320053043,0.16496922047528634,0.19749801307984088,prediction_probability,NO_MECHANISM_RECOVERY,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6255392,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients.
S2,BEHRT,behrt,shared_full_label,all_32_targets,0.7228037536367555,0.5076974166716162,0.4902859256043454,0.18943315614033002,0.18597841495275946,0.21725437915873763,prediction_probability,NO_MECHANISM_RECOVERY,NA,-2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6255392,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients.
S3,BEHRT,behrt,shared_full_label,all_32_targets,0.7014311273722769,0.47884712857320894,0.5093761797242203,0.15132610198469845,0.1188396824710489,0.1614531261743449,prediction_probability,NO_MECHANISM_RECOVERY,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6255392,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients.
S5,BEHRT,behrt,shared_full_label,all_32_targets,0.7354948767496065,0.521776608809778,0.4865982965062507,0.14480363726128023,0.08962711505430933,0.12497388935823996,prediction_probability,PARTIAL_HETEROGENEOUS_PERSISTENCE_RECOVERY,NA,-2.5,NA,NA,NA,NA,NA,NA,0.19326018785805052,0.15862339840130715,0.11792384069913502,0.1566024756528309,False,6255392,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients.
S0,CEHR-BERT,cehrbert,shared_full_label,all_32_targets,0.7296597332673364,0.5204594710939565,0.485441620150289,0.059703879008804486,0.06250437849073165,0.07536109371867472,prediction_probability,FUNCTIONAL_RECOVERY,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1126304,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients.
S1,CEHR-BERT,cehrbert,shared_full_label,all_32_targets,0.7480442508714803,0.5393457450833518,0.47956512419873987,0.09949676354460602,0.0948530906383893,0.11103912223131346,prediction_probability,NO_MECHANISM_RECOVERY,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1126304,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients.
S2,CEHR-BERT,cehrbert,shared_full_label,all_32_targets,0.7635682281963081,0.5818115186216142,0.45627353794076914,0.09827911344233253,0.1107840133457542,0.13078465452453683,prediction_probability,NO_MECHANISM_RECOVERY,NA,-2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1126304,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients.
S3,CEHR-BERT,cehrbert,shared_full_label,all_32_targets,0.7375761982691252,0.5344520579930946,0.4852448961974071,0.10788032633563284,0.08907526947594317,0.13263925862208345,prediction_probability,NO_MECHANISM_RECOVERY,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1126304,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients.
S5,CEHR-BERT,cehrbert,shared_full_label,all_32_targets,0.7788738430080223,0.6010506949940458,0.4519355688644217,0.06732719612526707,0.11157569001298778,0.08569400355698711,prediction_probability,PARTIAL_HETEROGENEOUS_PERSISTENCE_RECOVERY,NA,-2.5,NA,NA,NA,NA,NA,NA,0.15091688957371838,0.13511170590238336,0.14055923589706826,0.14219594379105666,True,1126304,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients.
S0,Content-Persistence DTR,reg_S0_dtr_age_temporal,content_persistence_interaction_only,interaction_targets_only,0.8438737371724371,0.705333229971996,0.39327589150612874,NA,NA,0.053122036355401456,gate_relevance,NA,0.008575738407671452,0.0,True,0.0020434523089061796,6.5777143557488316e-06,0.00024769535725183145,NA,0.13078514440531364,NA,NA,NA,NA,NA,53475,"Predictive metrics are interaction-label only and are not comparable to the shared full-label table. Surface_RMSE is the gate relevance surface, not the universal prediction-probability surface."
S0,DTR temporal-only,reg_S0_dtr_temporal_only,content_persistence_interaction_only,interaction_targets_only,0.8445430622486334,0.706212788182251,0.3918698895472393,NA,NA,0.08177743553821122,gate_relevance,NA,0.0,0.0,True,0.001827901086186634,0.0,0.0011153721470582023,NA,0.1872387509372951,NA,NA,NA,NA,NA,53474,"Predictive metrics are interaction-label only and are not comparable to the shared full-label table. Surface_RMSE is the gate relevance surface, not the universal prediction-probability surface."
S1,Content-Persistence DTR,reg_S1_dtr_age_temporal,content_persistence_interaction_only,interaction_targets_only,0.8356714314552953,0.6824479669562955,0.41221083155869687,NA,NA,0.10152893587752015,gate_relevance,NA,0.07510920614004135,0.0,True,0.014781125915728832,0.0002998386368357475,0.008269363543769392,NA,0.221225946876157,NA,NA,NA,NA,NA,53475,"Predictive metrics are interaction-label only and are not comparable to the shared full-label table. Surface_RMSE is the gate relevance surface, not the universal prediction-probability surface."
S1,DTR temporal-only,reg_S1_dtr_temporal_only,content_persistence_interaction_only,interaction_targets_only,0.8370390763936285,0.6873717720910815,0.4096314660687331,NA,NA,0.0932126554297203,gate_relevance,NA,0.0,0.0,True,0.014239481930303943,0.0,0.008092458050284301,NA,0.20764872241289634,NA,NA,NA,NA,NA,53474,"Predictive metrics are interaction-label only and are not comparable to the shared full-label table. Surface_RMSE is the gate relevance surface, not the universal prediction-probability surface."
S2,Content-Persistence DTR,reg_S2_dtr_age_temporal,content_persistence_interaction_only,interaction_targets_only,0.926648783112122,0.8566891376361366,0.2799034305470033,NA,NA,0.12513606879306863,gate_relevance,NA,-2.3584697246551514,-2.5,True,0.30833684090243163,0.12837669579880218,0.1591031045773576,0.9976147906052468,0.4301273131172786,NA,NA,NA,NA,NA,53475,"Predictive metrics are interaction-label only and are not comparable to the shared full-label table. Surface_RMSE is the gate relevance surface, not the universal prediction-probability surface."
S2,DTR temporal-only,reg_S2_dtr_temporal_only,content_persistence_interaction_only,interaction_targets_only,0.9124467337488606,0.8307678902129386,0.3062746347483458,NA,NA,0.3259766317386437,gate_relevance,NA,0.0,-2.5,False,0.01208235068971486,0.0,0.008638727161501714,NA,1.0575338929555689,NA,NA,NA,NA,NA,53474,"Predictive metrics are interaction-label only and are not comparable to the shared full-label table. Surface_RMSE is the gate relevance surface, not the universal prediction-probability surface."
S3,Content-Persistence DTR,reg_S3_dtr_age_temporal,content_persistence_interaction_only,interaction_targets_only,0.8498346345695077,0.7461535385061577,0.37779749391012823,NA,NA,0.14137938885720314,gate_relevance,NA,2.0650997161865234,2.5,True,0.1383704517669761,0.07861626871252575,0.0727229384853389,0.9983381591435232,0.5667095913139261,NA,NA,NA,NA,NA,53475,"Predictive metrics are interaction-label only and are not comparable to the shared full-label table. Surface_RMSE is the gate relevance surface, not the universal prediction-probability surface."
S3,DTR temporal-only,reg_S3_dtr_temporal_only,content_persistence_interaction_only,interaction_targets_only,0.8323796356538712,0.7100246057227988,0.40441231079961604,NA,NA,0.30963416179232606,gate_relevance,NA,0.0,2.5,False,0.0034454593063037997,0.0,0.0010030133329029245,NA,1.0413218009708092,NA,NA,NA,NA,NA,53474,"Predictive metrics are interaction-label only and are not comparable to the shared full-label table. Surface_RMSE is the gate relevance surface, not the universal prediction-probability surface."
S5,Content-Persistence DTR,S5_canonical,content_persistence_interaction_only,interaction_targets_only,0.9071633135639129,0.8168258245573506,0.3188399876078828,NA,NA,0.05554469329502477,gate_relevance,NA,-2.3557820320129395,-2.5,True,0.18211608095042842,0.09395482205004801,0.10293640111986851,0.9995970656269385,0.24182234582007014,NA,NA,NA,NA,NA,53475,No universal S5 group surface RMSE was saved. persistence_order_correct is left NA; learned offset order is in dtr_mechanism_summary.
S5,Global-Persistence DTR,S5_baseline_global,content_persistence_interaction_only,interaction_targets_only,0.9054029451408344,0.8122833311998502,0.32108491734833633,NA,NA,0.0890729025790261,gate_relevance,NA,-1.9944037199020386,-2.5,True,0.1690513387004119,0.08014942243342399,0.09522964281245455,0.9996344451903245,0.4667622900529941,NA,NA,NA,NA,NA,53475,No universal S5 group surface RMSE was saved. persistence_order_correct is left NA; learned offset order is in dtr_mechanism_summary.
